Objectid;Punktname;Rubrik;Kante;Nummer_nach;Id_opendata;V_coord;H_coord
2;Aarberg, Schwimmbad;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Bern Bahnhof</li></ul>";8580406;1210003.764;2587562.363
3;Aarberg, Schwimmbad;Haltestelle;;"<ul style=""padding-left: 15px;""><li>106 Bern Bahnhof</li><li>106 Zollikofen</li><li>41 Breitenrain</li><li>41 Zollikofen</li></ul>";8580406;1205480.455;2601783.283
4;Aarberg, Schwimmbad;Haltestelle;;"<ul style=""padding-left: 15px;""><li>100 Aarberg, Post/Bahnhof</li></ul>";8580406;1209980.941;2587570.432
5;Aarestrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Bremgarten Seftau</li></ul>";8589053;1203786.099;2601361.092
6;Aarestrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Ittigen Talgut-Zentrum</li></ul>";8589053;1203780.099;2601349.092
7;Aarmattweg;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Ittigen Talgut-Zentrum</li></ul>";8589054;1204284.102;2601234.095
8;Aarmattweg;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Bremgarten Seftau</li></ul>";8589054;1204303.101;2601236.096
9;Aegertenstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Wankdorf Bahnhof</li><li>31 Brunnadernstrasse</li></ul>";8588988;1198767.535;2600724.419
10;Aegertenstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>19 Blinzern</li></ul>";8588988;1198832.958;2600697.403
11;Aegertenstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>19 Elfenau</li></ul>";8588988;1198917.573;2600707.384
12;Aegertenstrasse;Haltestelle;;"<ul style=""padding-left: 15px;""><li>28 Weissenbühl Bahnhof</li><li>31 Niederwangen Erle</li></ul>";8588988;1198789.293;2600813.539
13;Aeschebrunnmatt;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Bremgarten Seftau</li></ul>";8589019;1204000.818;2600252.873
14;Aeschebrunnmatt;Haltestelle;;"<ul style=""padding-left: 15px;""><li>33 Ittigen Talgut-Zentrum</li></ul>";8589019;1203997.246;2600261.074
