station	time	tresurs0	rre150z0	sre000z0	fu3010z0
BER	202402010000	-2.5	0.0	0	3.6
BER	202402010010	-3.5	0.0	0	2.9
BER	202402010020	-3.5	0.0	0	4.0
BER	202402010030	-3.6	0.0	0	2.9
BER	202402010040	-3.8	0.0	0	2.2
BER	202402010050	-4.1	0.0	0	1.8
BER	202402010100	-3.6	0.0	0	3.6
BER	202402010110	-3.7	0.0	0	2.5
BER	202402010120	-3.3	0.0	0	2.2
BER	202402010130	-3.3	0.0	0	1.8
BER	202402010140	-3.5	0.0	0	1.1
BER	202402010150	-3.5	0.0	0	2.5
BER	202402010200	-3.1	0.0	0	3.2
BER	202402010210	-3.3	0.0	0	2.9
BER	202402010220	-3.2	0.0	0	4.0
BER	202402010230	-3.2	0.0	0	4.7
BER	202402010240	-2.4	0.0	0	5.8
BER	202402010250	-2.2	0.0	0	6.1
BER	202402010300	-1.9	0.0	0	6.1
BER	202402010310	-2.2	0.0	0	5.0
BER	202402010320	-1.7	0.0	0	4.7
BER	202402010330	-1.6	0.0	0	4.7
BER	202402010340	-1.3	0.0	0	4.3
BER	202402010350	-0.8	0.0	0	5.4
BER	202402010400	-0.2	0.0	0	2.9
BER	202402010410	0.0	0.0	0	3.6
BER	202402010420	0.2	0.0	0	5.0
BER	202402010430	0.3	0.0	0	5.0
BER	202402010440	0.4	0.0	0	6.8
BER	202402010450	0.4	0.0	0	5.0
BER	202402010500	0.7	0.0	0	2.2
BER	202402010510	1.0	0.0	0	1.8
BER	202402010520	1.1	0.0	0	2.2
BER	202402010530	1.3	0.0	0	2.2
BER	202402010540	1.3	0.0	0	4.7
BER	202402010550	1.4	0.0	0	4.0
BER	202402010600	1.2	0.0	0	3.6
BER	202402010610	1.2	0.0	0	3.2
BER	202402010620	1.1	0.0	0	2.9
BER	202402010630	1.4	0.0	0	2.9
BER	202402010640	1.3	0.0	0	2.5
BER	202402010650	1.2	0.0	0	1.1
BER	202402010700	1.3	0.0	0	1.1
BER	202402010710	1.6	0.0	0	2.5
BER	202402010720	1.9	0.0	0	5.4
BER	202402010730	2.0	0.0	0	6.1
BER	202402010740	2.1	0.0	0	4.3
BER	202402010750	2.3	0.0	0	4.0
BER	202402010800	2.8	0.0	0	3.6
BER	202402010810	3.0	0.0	0	2.9
BER	202402010820	3.1	0.0	0	3.2
BER	202402010830	3.2	0.0	0	5.8
BER	202402010840	3.5	0.0	0	7.9
BER	202402010850	3.7	0.0	0	8.3
BER	202402010900	3.9	0.0	0	7.6
BER	202402010910	4.2	0.0	0	7.2
BER	202402010920	4.3	0.0	0	6.1
BER	202402010930	4.3	0.0	0	5.0
BER	202402010940	4.6	0.0	0	6.1
BER	202402010950	4.7	0.0	0	6.1
BER	202402011000	4.7	0.0	0	7.9
BER	202402011010	4.7	0.2	0	7.2
BER	202402011020	4.4	0.1	0	10.1
BER	202402011030	4.4	0.3	0	7.6
BER	202402011040	4.4	0.2	0	6.5
BER	202402011050	4.2	0.1	0	7.2
BER	202402011100	4.3	0.1	0	6.1
BER	202402011110	4.5	0.2	0	6.1
BER	202402011120	4.8	0.1	0	6.1
BER	202402011130	4.9	0.5	0	7.2
BER	202402011140	5.2	0.3	0	7.6
BER	202402011150	5.5	0.2	0	5.4
BER	202402011200	5.7	0.0	0	5.0
BER	202402011210	5.8	0.1	0	4.3
BER	202402011220	5.6	0.0	0	2.5
BER	202402011230	5.6	0.0	0	4.0
BER	202402011240	5.6	0.0	0	4.3
BER	202402011250	5.9	0.0	0	3.2
BER	202402011300	6.0	0.0	0	3.2
BER	202402011310	6.2	0.0	0	2.2
BER	202402011320	6.4	0.1	0	3.2
BER	202402011330	6.8	0.0	0	3.2
BER	202402011340	6.9	0.0	0	4.0
BER	202402011350	6.7	0.0	0	5.8
BER	202402011400	6.6	0.0	0	5.4
BER	202402011410	6.7	0.0	0	4.3
BER	202402011420	6.6	0.0	0	4.0
BER	202402011430	6.4	0.0	0	6.8
BER	202402011440	6.3	0.0	0	6.5
BER	202402011450	6.2	0.0	0	5.0
BER	202402011500	6.3	0.0	0	6.1
BER	202402011510	6.3	0.0	0	3.2
BER	202402011520	6.1	0.0	0	5.4
BER	202402011530	6.1	0.0	0	5.8
BER	202402011540	6.1	0.0	0	7.9
BER	202402011550	6.1	0.0	0	7.9
BER	202402011600	6.0	0.0	0	6.5
BER	202402011610	5.8	0.0	0	7.6
BER	202402011620	5.8	0.0	0	6.8
BER	202402011630	5.7	0.0	0	5.4
BER	202402011640	5.6	0.0	0	5.4
BER	202402011650	5.5	0.0	0	4.3
BER	202402011700	5.3	0.0	0	3.2
BER	202402011710	5.1	0.0	0	2.5
BER	202402011720	4.9	0.0	0	0.7
BER	202402011730	5.0	0.0	0	0.7
BER	202402011740	5.0	0.0	0	0.4
BER	202402011750	5.0	0.0	0	2.2
BER	202402011800	4.8	0.0	0	0.7
BER	202402011810	4.6	0.0	0	0.0
BER	202402011820	4.4	0.0	0	0.0
BER	202402011830	4.4	0.0	0	1.4
BER	202402011840	4.2	0.0	0	0.0
BER	202402011850	4.3	0.0	0	0.0
BER	202402011900	4.3	0.0	0	0.0
BER	202402011910	4.2	0.0	0	0.0
BER	202402011920	4.3	0.0	0	1.8
BER	202402011930	4.8	0.0	0	4.3
BER	202402011940	5.1	0.0	0	4.0
BER	202402011950	5.0	0.0	0	1.4
BER	202402012000	4.8	0.0	0	0.4
BER	202402012010	4.8	0.0	0	1.1
BER	202402012020	4.8	0.0	0	1.8
BER	202402012030	5.0	0.0	0	4.3
